17226287 pagani cpu: 0.340587 ,  gpu: 0.024903 
17226287 pagani cpu: 0.299642 ,  gpu: 0.024789 
17226287 pagani cpu: 0.322040 ,  gpu: 0.024813 
17226287 pagani cpu: 0.340797 ,  gpu: 0.024908 
17226287 pagani cpu: 0.319516 ,  gpu: 0.024959 
17226287 pagani cpu: 0.324821 ,  gpu: 0.024906 
17226287 pagani cpu: 0.313981 ,  gpu: 0.024802 
17226287 pagani cpu: 0.321542 ,  gpu: 0.024817 
17226287 pagani cpu: 0.318067 ,  gpu: 0.024806 
17226287 pagani cpu: 0.321285 ,  gpu: 0.024937 
17226287 pagani cpu: 0.321400 ,  gpu: 0.024955 
17226287 pagani cpu: 0.307707 ,  gpu: 0.024951 
17226287 pagani cpu: 0.321811 ,  gpu: 0.024808 
17226287 pagani cpu: 0.318507 ,  gpu: 0.024955 
17226287 pagani cpu: 0.318995 ,  gpu: 0.024896 
