2304000 lamborghini cpu: 0.171405 ,  gpu: 0.003300 
2304000 lamborghini cpu: 0.169078 ,  gpu: 0.003298 
2304000 lamborghini cpu: 0.170532 ,  gpu: 0.003302 
2304000 lamborghini cpu: 0.172272 ,  gpu: 0.003298 
2304000 lamborghini cpu: 0.169503 ,  gpu: 0.003285 
2304000 lamborghini cpu: 0.171246 ,  gpu: 0.003301 
2304000 lamborghini cpu: 0.172591 ,  gpu: 0.003320 
2304000 lamborghini cpu: 0.170464 ,  gpu: 0.003317 
24000000 maserati cpu: 0.632017 ,  gpu: 0.031431 
24000000 maserati cpu: 0.358051 ,  gpu: 0.031405 
24000000 maserati cpu: 0.362441 ,  gpu: 0.031246 
24000000 maserati cpu: 0.372387 ,  gpu: 0.031295 
24000000 maserati cpu: 0.407207 ,  gpu: 0.031256 
24000000 maserati cpu: 0.376552 ,  gpu: 0.031301 
24000000 maserati cpu: 0.383389 ,  gpu: 0.031244 
24000000 maserati cpu: 0.407353 ,  gpu: 0.031294 
24000000 maserati cpu: 0.382620 ,  gpu: 0.031281 
24000000 maserati cpu: 0.421310 ,  gpu: 0.031294 
24000000 maserati cpu: 0.378210 ,  gpu: 0.031248 
24000000 maserati cpu: 0.352843 ,  gpu: 0.031328 
24000000 maserati cpu: 0.381230 ,  gpu: 0.031251 
24000000 maserati cpu: 0.384293 ,  gpu: 0.031307 
24000000 maserati cpu: 0.357940 ,  gpu: 0.031263 
24000000 maserati cpu: 0.408932 ,  gpu: 0.031330 
24000000 maserati cpu: 0.421209 ,  gpu: 0.031233 
24000000 maserati cpu: 0.361667 ,  gpu: 0.031310 
24000000 maserati cpu: 0.369397 ,  gpu: 0.031848 
24000000 maserati cpu: 0.406637 ,  gpu: 0.031329 
2304000 nissan cpu: 0.245497 ,  gpu: 0.003729 
2304000 nissan cpu: 0.175939 ,  gpu: 0.003922 
2304000 nissan cpu: 0.128640 ,  gpu: 0.003882 
2304000 nissan cpu: 0.175315 ,  gpu: 0.003885 
2304000 nissan cpu: 0.175441 ,  gpu: 0.003928 
2304000 nissan cpu: 0.175868 ,  gpu: 0.003910 
2304000 nissan cpu: 0.175436 ,  gpu: 0.003920 
2304000 nissan cpu: 0.176611 ,  gpu: 0.003907 
2304000 nissan cpu: 0.175235 ,  gpu: 0.003920 
2304000 nissan cpu: 0.175531 ,  gpu: 0.003922 
2304000 nissan cpu: 0.105087 ,  gpu: 0.003922 
2304000 nissan cpu: 0.173666 ,  gpu: 0.003909 
2304000 nissan cpu: 0.174071 ,  gpu: 0.003913 
2304000 nissan cpu: 0.173131 ,  gpu: 0.003903 
2304000 nissan cpu: 0.173331 ,  gpu: 0.003913 
2304000 nissan cpu: 0.173540 ,  gpu: 0.003915 
2304000 nissan cpu: 0.174002 ,  gpu: 0.003916 
2304000 nissan cpu: 0.173618 ,  gpu: 0.003914 
2304000 nissan cpu: 0.173922 ,  gpu: 0.003920 
2304000 nissan cpu: 0.174169 ,  gpu: 0.003914 
17226287 pagani cpu: 0.497310 ,  gpu: 0.022245 
17226287 pagani cpu: 0.313106 ,  gpu: 0.022801 
17226287 pagani cpu: 0.334769 ,  gpu: 0.022699 
17226287 pagani cpu: 0.307265 ,  gpu: 0.022723 
17226287 pagani cpu: 0.334804 ,  gpu: 0.022678 
17226287 pagani cpu: 0.301420 ,  gpu: 0.022698 
17226287 pagani cpu: 0.306254 ,  gpu: 0.022681 
17226287 pagani cpu: 0.333585 ,  gpu: 0.022709 
17226287 pagani cpu: 0.302101 ,  gpu: 0.022702 
17226287 pagani cpu: 0.274721 ,  gpu: 0.022701 
17226287 pagani cpu: 0.308485 ,  gpu: 0.022713 
17226287 pagani cpu: 0.305996 ,  gpu: 0.022722 
17226287 pagani cpu: 0.304435 ,  gpu: 0.022752 
17226287 pagani cpu: 0.304015 ,  gpu: 0.022873 
17226287 pagani cpu: 0.298783 ,  gpu: 0.022857 
17226287 pagani cpu: 0.284511 ,  gpu: 0.022896 
17226287 pagani cpu: 0.340258 ,  gpu: 0.022820 
17226287 pagani cpu: 0.340987 ,  gpu: 0.022838 
17226287 pagani cpu: 0.340602 ,  gpu: 0.022843 
17226287 pagani cpu: 0.305520 ,  gpu: 0.022818 
