2304000 nissan cpu: 0.204403 ,  gpu: 0.002586 
2304000 nissan cpu: 0.172362 ,  gpu: 0.002899 
2304000 nissan cpu: 0.170249 ,  gpu: 0.002883 
2304000 nissan cpu: 0.172219 ,  gpu: 0.002861 
2304000 nissan cpu: 0.129255 ,  gpu: 0.002874 
2304000 nissan cpu: 0.169361 ,  gpu: 0.002842 
2304000 nissan cpu: 0.170978 ,  gpu: 0.002857 
2304000 nissan cpu: 0.168800 ,  gpu: 0.002847 
2304000 nissan cpu: 0.170615 ,  gpu: 0.002851 
2304000 nissan cpu: 0.168516 ,  gpu: 0.002870 
2304000 nissan cpu: 0.170712 ,  gpu: 0.002842 
2304000 nissan cpu: 0.168711 ,  gpu: 0.002848 
2304000 nissan cpu: 0.170683 ,  gpu: 0.002839 
2304000 nissan cpu: 0.168632 ,  gpu: 0.002841 
2304000 nissan cpu: 0.170902 ,  gpu: 0.002837 
2304000 nissan cpu: 0.168627 ,  gpu: 0.002854 
2304000 nissan cpu: 0.173432 ,  gpu: 0.002845 
2304000 nissan cpu: 0.168718 ,  gpu: 0.002852 
2304000 nissan cpu: 0.172322 ,  gpu: 0.002841 
2304000 nissan cpu: 0.173642 ,  gpu: 0.002818 
17226287 pagani cpu: 0.478728 ,  gpu: 0.014530 
17226287 pagani cpu: 0.338962 ,  gpu: 0.013834 
17226287 pagani cpu: 0.309698 ,  gpu: 0.013523 
17226287 pagani cpu: 0.316970 ,  gpu: 0.013545 
17226287 pagani cpu: 0.294852 ,  gpu: 0.013436 
17226287 pagani cpu: 0.329126 ,  gpu: 0.013448 
17226287 pagani cpu: 0.315921 ,  gpu: 0.013538 
17226287 pagani cpu: 0.316973 ,  gpu: 0.013611 
17226287 pagani cpu: 0.315845 ,  gpu: 0.013466 
17226287 pagani cpu: 0.313009 ,  gpu: 0.013435 
17226287 pagani cpu: 0.338760 ,  gpu: 0.013448 
17226287 pagani cpu: 0.322705 ,  gpu: 0.013448 
17226287 pagani cpu: 0.311422 ,  gpu: 0.013787 
17226287 pagani cpu: 0.339557 ,  gpu: 0.013463 
17226287 pagani cpu: 0.318894 ,  gpu: 0.013776 
17226287 pagani cpu: 0.316412 ,  gpu: 0.013473 
17226287 pagani cpu: 0.338829 ,  gpu: 0.013724 
17226287 pagani cpu: 0.317198 ,  gpu: 0.013491 
17226287 pagani cpu: 0.314600 ,  gpu: 0.013527 
17226287 pagani cpu: 0.314593 ,  gpu: 0.013573 
